.1e-1	.1007129307e-1	.1003554905e-1	.1001774213e-1	532.3333333	265.6666667	159.0000000
.2e-1	.2028754297e-1	.2014298125e-1	.2007122894e-1	265.6666666	132.3333334	79.00000000
.3e-1	.3065240073e-1	.3032349768e-1	.3016085683e-1	176.7777778	87.88888891	52.33333333
.4e-1	.4116964880e-1	.4057833168e-1	.4028703019e-1	132.3333333	65.66666669	39.00000000
.5e-1	.5184320718e-1	.5090875005e-1	.5045016158e-1	105.6666667	52.33333334	31.00000000
.6e-1	.6267713999e-1	.6131605431e-1	.6065067197e-1	87.88888888	43.44444445	25.66666667
.7e-1	.7367566236e-1	.7180158205e-1	.7088899105e-1	75.19047618	37.09523810	21.85714286
.8e-1	.8484314775e-1	.8236670828e-1	.8116555743e-1	65.66666666	32.33333334	19.00000000
.9e-1	.9618413573e-1	.9301284693e-1	.9148081897e-1	58.25925925	28.62962963	16.77777778
.10	.1077033402	.1037414523	.1018352330	52.33333333	25.66666667	15.00000000
.11	.1194056580	.1145540209	.1122292668	47.48484848	23.24242424	13.54545455
.12	.1312961786	.1254520928	.1226633977	43.44444445	21.22222222	12.33333333
.13	.1433801934	.1364372537	.1331381133	40.02564102	19.51282051	11.30769231
.14	.1556632067	.1475111366	.1436539124	37.09523810	18.04761906	10.42857143
.15	.1681509466	.1586754239	.1542113047	34.55555555	16.77777778	9.66666667
.16	.1808493768	.1699318495	.1648108113	32.33333333	15.66666667	9.00000000
.17	.1937647096	.1812822010	.1754529656	30.37254902	14.68627451	8.411764706
.18	.2069034193	.1927283218	.1861383130	28.62962963	13.81481482	7.888888890
.19	.2202722564	.2042721138	.1968674118	27.07017544	13.03508772	7.421052632
.20	.2338782634	.2159155398	.2076408335	25.66666666	12.33333334	7.000000000
.21	.2477287908	.2276606265	.2184591632	24.39682539	11.69841270	6.619047619
.22	.2618315151	.2395094671	.2293230001	23.24242424	11.12121212	6.272727272
.23	.2761944578	.2514642244	.2402329583	22.18840579	10.59420290	5.956521739
.24	.2908260052	.2635271342	.2511896667	21.22222222	10.11111111	5.666666667
.25	.3057349304	.2757005086	.2621937704	20.33333333	9.66666667	5.400000000
.26	.3209304165	.2879867397	.2732459306	19.51282051	9.25641026	5.153846154
.27	.3364220820	.3003883035	.2843468255	18.75308642	8.876543211	4.925925926
.28	.3522200071	.3129077637	.2954971510	18.04761904	8.523809526	4.714285714
.29	.3683347635	.3255477766	.3066976213	17.39080459	8.195402301	4.517241379
.30	.3847774451	.3383110955	.3179489695	16.77777778	7.888888891	4.333333333
.31	.4015597023	.3512005755	.3292519487	16.20430107	7.602150539	4.161290323
.32	.4186937780	.3642191790	.3406073325	15.66666667	7.333333334	4.000000000
.33	.4361925474	.3773699811	.3520159161	15.16161616	7.080808083	3.848484848
.34	.4540695607	.3906561761	.3634785168	14.68627451	6.843137256	3.705882354
.35	.4723390895	.4040810833	.3749959754	14.23809524	6.619047621	3.571428571
.36	.4910161767	.4176481545	.3865691569	13.81481481	6.407407410	3.444444445
.37	.5101166917	.4313609810	.3981989517	13.41441441	6.207207208	3.324324325
.38	.5296573896	.4452233015	.4098862768	13.03508772	6.017543861	3.210526315
.39	.5496559759	.4592390109	.4216320767	12.67521367	5.837606838	3.102564102
.40	.5701311774	.4734121692	.4334373248	12.33333333	5.666666669	3.000000000
.41	.5911028192	.4877470116	.4453030249	12.00813008	5.504065042	2.902439024
.42	.6125919095	.5022479587	.4572302125	11.69841270	5.349206350	2.809523810
.43	.6346207319	.5169196282	.4692199563	11.40310077	5.201550389	2.720930232
.44	.6572129473	.5317668473	.4812733597	11.12121212	5.060606062	2.636363637
.45	.6803937053	.5467946658	.4933915629	10.85185185	4.925925926	2.555555555
.46	.7041897677	.5620083710	.5055757443	10.59420290	4.797101451	2.478260869
.47	.7286296437	.5774135028	.5178271227	10.34751773	4.673758866	2.404255318
.48	.7537437401	.5930158712	.5301469594	10.11111111	4.555555557	2.333333333
.49	.7795645272	.6088215748	.5425365603	9.88435374	4.442176872	2.265306123
.50	.8061267230	.6248370208	.5549972787	9.66666667	4.333333334	2.200000000
.51	.8334674981	.6410689472	.5675305173	9.45751634	4.228758171	2.137254902
.52	.8616267027	.6575244467	.5801377316	9.25641026	4.128205130	2.076923077
.53	.8906471223	.6742109934	.5928204323	9.06289308	4.031446542	2.018867925
.54	.9205747609	.6911364716	.6055801892	8.876543210	3.938271606	1.962962963
.55	.9514591611	.7083092074	.6184186342	8.696969696	3.848484850	1.909090909
.56	.9833537623	.7257380042	.6313374651	8.523809523	3.761904763	1.857142858
.57	1.016316305	.7434321811	.6443384501	8.356725146	3.678362574	1.807017544
.58	1.050409287	.7614016157	.6574234319	8.195402298	3.597701150	1.758620690
.59	1.085700482	.7796567917	.6705943327	8.039548022	3.519774013	1.711864406
.60	1.122263525	.7982088514	.6838531593	7.888888888	3.444444445	1.666666667
.61	1.160178587	.8170696550	.6972020092	7.743169398	3.371584701	1.622950819
.62	1.199533137	.8362518456	.7106430765	7.602150536	3.301075270	1.580645162
.63	1.240422823	.8557689230	.7241786592	7.465608464	3.232804234	1.539682539
.64	1.282952486	.8756353265	.7378111664	7.333333333	3.166666667	1.500000000
.65	1.327237328	.8958665276	.7515431269	7.205128205	3.102564104	1.461538461
.66	1.373404272	.9164791356	.7653771987	7.080808080	3.040404042	1.424242424
.67	1.421593541	.9374910168	.7793161786	6.960199005	2.980099504	1.388059701
.68	1.471960515	.9589214304	.7933630139	6.843137254	2.921568629	1.352941176
.69	1.524677903	.9807911840	.8075208154	6.729468598	2.864734301	1.318840579
